id,name,year
14300,Дистанционная подготовка к ЕГЭ по математике,2022
14294,Подготовка к ЕГЭ по информатике,2022
13398,Подготовка к ЕГЭ по информатике,2021
14295,Подготовка к ЕГЭ по истории,2022
13418,Подготовка к ЕГЭ по истории,2021
14296,Подготовка к ЕГЭ по математике,2022
13419,Подготовка к ЕГЭ по математике,2021
14297,Подготовка к ЕГЭ по обществознанию,2022
13420,Подготовка к ЕГЭ по обществознанию,2021
14298,Подготовка к ЕГЭ по русскому языку,2022
13421,Подготовка к ЕГЭ по русскому языку,2021
13446,Подготовка к ЕГЭ по физике,2021
14316,Дополнительные главы биологии (9 класс),2022
13415,Дополнительные главы биологии (9 класс),2021
13402,Дополнительные главы математики (6 класс),2021
14312,Дополнительные главы математики (7 класс),2022
13411,Дополнительные главы математики (7 класс),2021
13406,Дополнительные главы физики (7 класс),2021
14247,Биология и химия,2022
13271,Биология и химия,2021
14245,Конвергенция и наукоёмкие технологии,2022
13269,Конвергенция и наукоёмкие технологии,2021
14246,Математика и физика,2022
13270,Математика и физика,2021
12213,"Физико-математический профиль ""Конвергенция и наукоемкие технологии""",2020
12197,"Физико-математический профиль ""Математика и физика""",2020
14249,Биология,2022
13273,Биология,2021
12195,"Географический профиль ""География и геоэкология""",2020
14250,География и геоэкология,2022
13274,География и геоэкология,2021
12205,"Информационно-технологический профиль ""Прикладные математические и информационные технологии""",2020
14248,Конвергенция и наукоёмкие технологии,2022
13272,Конвергенция и наукоёмкие технологии,2021
14253,Математика и физика,2022
13277,Математика и физика,2021
14251,Прикладные математические и информационные технологии,2022
13275,Прикладные математические и информационные технологии,2021
12233,"Физико-математический профиль ""Конвергенция и наукоемкие технологии""",2020
12193,"Физико-математический профиль ""Математика и физика""",2020
12194,"Химико-биологический профиль ""Биология""",2020
12196,"Химико-биологический профиль ""Химия""",2020
14252,Химия,2022
13276,Химия,2021
13863,Биология,2022
12853,Биология,2021
11895,Биология,2020
11027,Биология,2019
9996,Биология,2018
14085,Биология: биоинженерные технологии,2022
12980,Биология: биоинженерные технологии,2021
12086,Биология: биоинженерные технологии,2020
14174,Четырехмесячные курсы по подготовке к ЕГЭ по биологии,2021
14016,Биоинформатика,2022
13148,Биоинформатика,2021
12047,Биоинформатика,2020
13902,Биология,2022
13012,Биология,2021
11938,Биология,2020
14144,Клеточные и генетические технологии,2022
13134,Молекулярная биология и агробиотехнология растений,2021
12037,Молекулярная биология и агробиотехнология растений,2020
